pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
92.242,-111.76,0.0,top,C1,,CP_Radial_D5.0mm_P2.50mm,4.7u,tht,True
141.635,-74.265,180.0,top,C10,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
89.525,-74.265,180.0,top,C11,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
126.492,-67.31,180.0,top,C12,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
116.84,-66.6089,-90.0,top,C13,,CP_Radial_D5.0mm_P2.00mm,10uF,tht,True
170.2449,-82.042,0.0,top,C2,,CP_Radial_D5.0mm_P2.50mm,4.7u,tht,True
88.92,-67.31,0.0,top,C5,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
106.71,-74.265,180.0,top,C6,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
123.855,-74.265,180.0,top,C7,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
81.935,-67.31,180.0,top,C8,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
158.78,-74.265,180.0,top,C9,,C_Disc_D5.0mm_W2.5mm_P2.50mm,104,tht,True
132.08,-124.46,0.0,top,CON1,,CARTRIDGE_MSX_NOCUT,MSX-CONNECTOR,smt,True
159.385,-67.31,180.0,top,D1,,LED_D3.0mm,uSD,tht,True
109.055,-67.665,180.0,top,D2,,D_DO-41_SOD81_P10.16mm_Horizontal,1N5817,tht,True
170.18,-68.5,180.0,top,J2,,SJ1-3523N,AudioJack3,tht,True
107.696,-48.514,0.0,top,J3,,PinHeader_2x01_P2.54mm_Vertical,AUDIO,tht,True
170.836,-101.346,-90.0,top,Q1,,TO-92_Inline_Wide,2N3904,tht,True
170.836,-110.236,-90.0,top,Q2,,TO-92_Inline_Wide,2N3904,tht,True
138.54,-67.31,0.0,top,R1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330,tht,True
175.26,-87.884,180.0,top,R4,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4.7k,tht,True
165.1,-92.71,0.0,top,R5,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2.2K,tht,True
165.1,-97.536,0.0,top,R6,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2.2K,tht,True
101.63,-79.345,0.0,top,U1,,DIP-20_W7.62mm_LongPads,SN74LVC245AN,tht,True
153.7,-79.345,0.0,top,U2,,DIP-20_W7.62mm_LongPads,SN74LVC245AN,tht,True
118.775,-79.345,0.0,top,U3,,DIP-20_W7.62mm_LongPads,SN74LVC245AN,tht,True
84.485,-79.345,0.0,top,U4,,DIP-20_W7.62mm_LongPads,SN74LVC245AN,tht,True
126.365,-41.245,-90.0,top,U5,,Tang_Nano_20k_Audio,Tang_Nano_20k,tht,True
136.555,-79.345,0.0,top,U6,,DIP-20_W7.62mm_LongPads,SN74LVC245AN,tht,True
